x	y	z	annotation	gray
34.878092226827434	44.11209614593831	13	epidermis	[255 177   0]
35.28594666736194	45.02514310822244	13	epidermis	[255 177   0]
20.2926704488003	9.008457138606722	13	midgut	[  0 255  21]
20.700524889334808	9.921504100890857	13	trachea	[155 255   0]
21.108379329869315	10.83455106317499	13	epidermis	[255 177   0]
21.516233770403822	11.747598025459125	13	epidermis	[255 177   0]
21.92408821093833	12.66064498774326	13	epidermis	[255 177   0]
22.331942651472836	13.573691950027394	13	CNS	[255  88   0]
22.739797092007343	14.486738912311525	13	CNS	[255  88   0]
23.14765153254185	15.399785874595658	13	epidermis	[255 177   0]
23.555505973076357	16.312832836879792	13	CNS	[255  88   0]
23.963360413610864	17.225879799163927	13	epidermis	[255 177   0]
24.37121485414537	18.13892676144806	13	epidermis	[255 177   0]
24.77906929467988	19.051973723732193	13	epidermis	[255 177   0]
25.186923735214386	19.965020686016327	13	epidermis	[255 177   0]
25.594778175748893	20.87806764830046	13	epidermis	[255 177   0]
26.0026326162834	21.791114610584593	13	epidermis	[255 177   0]
26.410487056817907	22.704161572868728	13	epidermis	[255 177   0]
26.818341497352414	23.617208535152862	13	epidermis	[255 177   0]
27.22619593788692	24.530255497436993	13	epidermis	[255 177   0]
27.634050378421428	25.443302459721128	13	epidermis	[255 177   0]
28.041904818955935	26.356349422005263	13	epidermis	[255 177   0]
28.449759259490442	27.269396384289397	13	epidermis	[255 177   0]
28.85761370002495	28.18244334657353	13	CNS	[255  88   0]
29.265468140559456	29.095490308857663	13	epidermis	[255 177   0]
29.673322581093963	30.008537271141797	13	muscle	[ 67 255   0]
30.08117702162847	30.921584233425932	13	epidermis	[255 177   0]
30.489031462162977	31.834631195710063	13	epidermis	[255 177   0]
30.896885902697484	32.7476781579942	13	epidermis	[255 177   0]
31.30474034323199	33.66072512027833	13	epidermis	[255 177   0]
31.712594783766498	34.57377208256246	13	midgut	[  0 255  21]
32.120449224301005	35.4868190448466	13	midgut	[  0 255  21]
32.52830366483551	36.39986600713073	13	epidermis	[255 177   0]
32.93615810537002	37.31291296941487	13	midgut	[  0 255  21]
33.34401254590452	38.225959931699	13	epidermis	[255 177   0]
33.75186698643903	39.13900689398314	13	epidermis	[255 177   0]
34.15972142697354	40.052053856267264	13	epidermis	[255 177   0]
34.56757586750805	40.9651008185514	13	epidermis	[255 177   0]
34.97543030804255	41.87814778083553	13	epidermis	[255 177   0]
35.38328474857706	42.79119474311967	13	epidermis	[255 177   0]
35.79113918911157	43.7042417054038	13	epidermis	[255 177   0]
22.02142629215345	10.426696622640483	13	CNS	[255  88   0]
22.429280732687957	11.33974358492462	13	CNS	[255  88   0]
22.83713517322246	12.252790547208754	13	midgut	[  0 255  21]
23.244989613756967	13.165837509492885	13	CNS	[255  88   0]
23.652844054291478	14.078884471777018	13	trachea	[155 255   0]
24.060698494825985	14.991931434061149	13	trachea	[155 255   0]
24.468552935360492	15.904978396345285	13	epidermis	[255 177   0]
24.876407375895	16.81802535862942	13	CNS	[255  88   0]
25.284261816429506	17.731072320913555	13	epidermis	[255 177   0]
25.692116256964013	18.64411928319769	13	CNS	[255  88   0]
26.09997069749852	19.55716624548182	13	epidermis	[255 177   0]
26.507825138033027	20.47021320776595	13	epidermis	[255 177   0]
26.915679578567534	21.383260170050086	13	epidermis	[255 177   0]
27.32353401910204	22.29630713233422	13	epidermis	[255 177   0]
27.73138845963655	23.209354094618355	13	epidermis	[255 177   0]
28.139242900171055	24.12240105690249	13	epidermis	[255 177   0]
28.547097340705562	25.03544801918662	13	muscle	[ 67 255   0]
28.95495178124007	25.948494981470756	13	epidermis	[255 177   0]
29.362806221774576	26.86154194375489	13	epidermis	[255 177   0]
29.770660662309083	27.77458890603902	13	epidermis	[255 177   0]
30.17851510284359	28.687635868323156	13	epidermis	[255 177   0]
30.586369543378098	29.60068283060729	13	epidermis	[255 177   0]
30.994223983912605	30.513729792891425	13	epidermis	[255 177   0]
31.40207842444711	31.42677675517556	13	epidermis	[255 177   0]
31.809932864981615	32.339823717459694	13	epidermis	[255 177   0]
32.217787305516126	33.25287067974382	13	epidermis	[255 177   0]
32.62564174605063	34.165917642027956	13	epidermis	[255 177   0]
